association,country,name,type,tier,cup_rank,gender,age_group,status,notes,logo_filename
AFC,Kyrgyzstan,Premier Liga,league,,,Men,Senior,,,kyrgyz_republic_premier_liga.png
AFC,Laos,Lao Premier League,league,1st-tier,,Men,Senior,,,lao_pdr_lao_premier_league.png
AFC,Laos,Lao League 2,league,2nd-tier,,Men,Senior,,,lao_pdr_lao_league_2.png
AFC,Laos,Lao Women's League,league,1st-tier,,Women,Senior,,,lao_pdr_lao_women_s_league.png
AFC,Lebanon,Lebanese Premier League,league,1st-tier,,Men,Senior,,,lebanon_lebanese_premier_league.png
AFC,Lebanon,Second Division,league,2nd-tier,,Men,Senior,,,lebanon_second_division.png
AFC,Lebanon,Third Division,league,3rd-tier,,Men,Senior,,,lebanon_third_division.png
AFC,Lebanon,Lebanese U-20 League,league,,,Men,Youth,,,lebanon_lebanese_u_20_league.png
AFC,Lebanon,Women's First Division,league,1st-tier,,Women,Senior,,,lebanon_women_s_first_division.png
AFC,Lebanon,Lebanese Women U-19 League,league,,,Women,Youth,,,lebanon_lebanese_u_19_league.png
AFC,Macau,Liga de Elite,league,1st-tier,,Men,Senior,,,macau_liga_de_elite.png
AFC,Macau,2a Divisão,league,2nd-tier,,Men,Senior,,,macau_2a_divisao.png
AFC,Macau,Woman Division League,league,1st-tier,,Women,Senior,,,macau_woman_division_league.png
AFC,Malaysia,Super League,league,1st-tier,,Men,Senior,,,malaysia_super_league.png
AFC,Malaysia,Liga A1 Semi-Pro Malaysia,league,2nd-tier,,Men,Senior,,,malaysia_liga_a1_semi_pro_malaysia.png
AFC,Maldives,Dhiraagu Dhivehi League,league,1st-tier,,Men,Senior,,,maldives_dhiraagu_dhivehi_league.png
AFC,Mongolia,Niyslel Lig,league,1st-tier,,Men,Senior,,,mongolia_niyslel_lig.png
AFC,Myanmar,Myanmar National League,league,1st-tier,,Men,Senior,,,myanmar_myanmar_national_league.png
AFC,Myanmar,MNL-2,league,2nd-tier,,Men,Senior,,,myanmar_mnl_2.png
AFC,Nepal,A Division League,league,1st-tier,,Men,Senior,,,nepal_a_division_league.png
AFC,Nepal,B Division League,league,2nd-tier,,Men,Senior,,,nepal_b_division_league.png
AFC,Northern Mariana Islands,M-League Division 1,league,1st-tier,,Men,Senior,,,northern_mariana_islands_m_league_division_1.png
AFC,Northern Mariana Islands,M-League Division 2,league,2nd-tier,,Men,Senior,,,northern_mariana_islands_m_league_division_2.png
AFC,Oman,Omantel Professional League,league,1st-tier,,Men,Senior,,,oman_omantel_professional_league.png
AFC,Oman,Omani First Division League,league,2nd-tier,,Men,Senior,,,oman_omani_first_division_league.png
AFC,Oman,Omani Second Division League,league,3rd-tier,,Men,Senior,,,oman_omani_second_division_league.png
AFC,Pakistan,Pakistan Premier League,league,1st-tier,,Men,Senior,,,pakistan_pakistan_premier_league.png
AFC,Pakistan,B. Division League,league,2nd-tier,,Men,Senior,,,pakistan_b_division_league.png
AFC,Pakistan,Pakistan U23 championship,league,,,Men,Youth,,,pakistan_pakistan_u23_championship.png
AFC,Pakistan,National Women Championship,women,1st-tier,,Women,Senior,,,pakistan_national_women_championship.png
AFC,Pakistan,National U-19 Football Championship,unknown,,,Men,Youth,,,pakistan_national_u_19_football_championship.png
AFC,Philippines,PFL,league,1st-tier,,Men,Senior,,,philippines_pfl.png
AFC,Philippines,UFL Division 1,league,1st-tier,,Men,Senior,defunct,,philippines_ufl_division_1.png
AFC,Philippines,UFL Division 2,league,2nd-tier,,Men,Senior,defunct,,philippines_ufl_division_2.png
AFC,Qatar,Qatar Stars League,league,1st-tier,,Men,Senior,,,qatar_qatar_stars_league.png
AFC,Qatar,Second Division,league,2nd-tier,,Men,Senior,,,qatar_second_division.png
AFC,Réunion,Division 1 Promotionnelle,league,1st-tier,,Men,Senior,,,reunion_division_1_promotionnelle.png
AFC,Saudi Arabia,Saudi Professional League,league,1st-tier,,Men,Senior,,,saudi_arabia_saudi_professional_league.png
AFC,Saudi Arabia,Division 1,league,2nd-tier,,Men,Senior,,,saudi_arabia_division_1.png
AFC,Saudi Arabia,Division 2,league,3rd-tier,,Men,Senior,,,saudi_arabia_division_2.png
AFC,Saudi Arabia,Saudi Women's Premier League,league,1st-tier,,Women,Senior,,,saudi_arabia_saudi_women_s_premier_league.png
AFC,Singapore,S.League,league,1st-tier,,Men,Senior,,,singapore_s_league.png
AFC,Sri Lanka,Super League,league,1st-tier,,Men,Senior,,,sri_lanka_super_league.png
AFC,Sri Lanka,Champions League,league,2nd-tier,,Men,Senior,,,sri_lanka_champions_league.png
AFC,Syria,Syrian Premier League,league,1st-tier,,Men,Senior,,,syria_syrian_premier_league.png
AFC,Tajikistan,Tajik Championship,league,1st-tier,,Men,Senior,,,tajikistan_tajik_championship.png
AFC,Tajikistan,First Division,league,2nd-tier,,Men,Senior,,,tajikistan_first_division.png
AFC,Thailand,Thai League 1,league,1st-tier,,Men,Senior,,,thailand_thai_league_1.png
AFC,Thailand,Thai League 2,league,2nd-tier,,Men,Senior,,,thailand_thai_league_2.png
AFC,Timor-Leste,Liga Futebol Amadora,league,1st-tier,,Men,Senior,,,timor_leste_liga_futebol_amadora.png
AFC,Turkmenistan,Ýokary Liga,league,1st-tier,,Men,Senior,,,turkmenistan_yokary_liga.png
AFC,Turkmenistan,Birinji Liga,league,2nd-tier,,Men,Senior,,,turkmenistan_birinji_liga.png
AFC,UAE,Arabian Gulf League,league,1st-tier,,Men,Senior,,,united_arab_emirates_arabian_gulf_league.png
AFC,UAE,First Division League,league,2nd-tier,,Men,Senior,,,united_arab_emirates_first_division_league.png
AFC,UAE,Second Division League,league,3rd-tier,,Men,Senior,,,united_arab_emirates_second_division_league.png
AFC,UAE,Pro League U23,league,,,Men,Youth,,,united_arab_emirates_pro_league_u23.png
AFC,UAE,UAE Women League,league,1st-tier,,Women,Senior,,,united_arab_emirates_uae_women_league.png
AFC,Uzbekistan,Oʻzbekiston Superligasi,league,1st-tier,,Men,Senior,,,uzbekistan_ozbekiston_superligasi.png
AFC,Uzbekistan,Pro Liga,league,2nd-tier,,Men,Senior,,,uzbekistan_pro_liga.png
AFC,Uzbekistan,O‘zbekiston Pro B Ligasi,league,3rd-tier,,Men,Senior,,,uzbekistan_ozbekiston_pro_b_ligasi.png
AFC,Uzbekistan,Oʻzbekiston Ayollar Chempionati,league,1st-tier,,Women,Senior,,,uzbekistan_ozbekiston_ayollar_chempionati.png
AFC,Vietnam,V.League 1,league,1st-tier,,Men,Senior,,,vietnam_v_league_1.png
AFC,Yemen,Yemeni League,league,1st-tier,,Men,Senior,,,yemen_yemeni_league.png
AFC,Yemen,Second Division,league,2nd-tier,,Men,Senior,,,yemen_second_division.png
CAF,,CAF Champions League,cup,1st-tier,Clubs,Men,Senior,,,africa_caf_champions_league.png
CAF,,CAF Confederation Cup,cup,2nd-tier,Clubs,Men,Senior,,,africa_caf_confederation_cup.png
CAF,,CAF Super Cup,cup,3rd-tier,Clubs,Men,Senior,,,africa_caf_super_cup.png
CAF,,CAF Women's Champions League,cup,,Clubs,Women,Senior,,,africa_caf_women_s_champions_league.png
CAF,Burundi,Nkurunziza Cup,cup,,Commemorative,Men,Senior,,,burundi_nkurunziza_cup.png
CAF,Burundi,Coupe de l'Unité Nationale,cup,,Commemorative,Men,Senior,,,burundi_coupe_de_l_unite_nationale.png
